S.no,Name of Restaurants,Type of Restaurants,Rating,Rating by people,Rating_by_people,Website,Address,Area,Phone number,Outlets included,Web page
986,The Blacksmith,American,4.5,149,"
The Blacksmith Smokehouse is the first smokehouse in the UAE. The Blacksmith Smokehouse has a custom-built smoker that is put to work on tonight's dinner way before sunrise to provide that real authentic taste of southern soul food. Their ‘No BS’ approach to serving smokehouse classics will have you coming back for more. To put out the fire, you’ll have spiked ice teas, porter floats and signature frozen daiquiris served larger than life. Ain’t nothing standard at The Blacksmith’s because size does matter and here smoking is good for you! Less
",http://www.theblacksmithdubai.com,"
1st Level ","
Dubai Marina ","
+971 4 407 8873 ",Wyndham Dubai Marina,https://www.theentertainerme.com/outlets/the-blacksmith/detail?o=50634&m=29259
987,"The Burj Club, Rooftop", Read Reviews,4.5,185,"
Offering an oasis of seclusion against the backdrop of The Dubai Fountain and Burj Khalifa is Rooftop, The Burj Club. This chic venue offers a Miami-meets-Manhattan vibe with plush lounge beds, tempting cuisine and refreshing beverages. The venue also serves hubbly bubbly and happy hours. Less
",http://www.theburjclub.com,"
The Burj Club, Rooftop, Burj Khalifa, 1 Sheikh Mohammed Bin Rashid Boulevard ","
Downtown Dubai ","
+971 4 888 3900 ",Downtown Dubai,https://www.theentertainerme.com/outlets/the-burj-club-rooftop/detail?o=68601&m=39591
988,The Cajun Bag,,0,0,"
Cajun Bag is a kitchen that prepares a mixed seafood bag cooked with Cajun seasoning and delivers to your doorstep. Less
",,"
Lake Terrace Tower, Cluster D ","
","
+971 4 578 6582 ",Jumeirah Lakes Towers,https://www.theentertainerme.com/outlets/the-cajun-bag/detail?o=89856&m=51777
989,The Cavendish,British,4.5,380,"
Experience a city bustling with life and taste, a melting pot of cultures and cuisines! The Cavendish Restaurant & Terrace, a classically stylish restaurant, prides itself on serving delicious International cuisine. It caters for every preference with a unique fusion of delicious International cuisine and the exotic elements of the Middle East. The level of care and time that goes into producing this fabulous fare is beyond measure! Our executive chef's mantra is anything that can be made from scratch should be no exceptions! Less
",http://www.bonningtontower.com,"
Cluster J ","
Jumeirah Lakes Towers ","
+971 4 356 05 33 ",Bonnington Jumeirah Lakes Towers,https://www.theentertainerme.com/outlets/the-cavendish/detail?o=846&m=580
990,The Champagne and Tea Lounge,Cafe,0,0,"
The Tea Lounge is where guests can spoil themselves to a scrumptious high tea at the oh-so-British Tea Lounge. A selection of savouries accompanied by handmade pastries as well as delicately flavoured tea will be served in the stylish yet intimate outlet. Less
",http://www.dukesdubai.com,"
3rd Level ","
The Palm Jumeirah ","
+971 4 455 1111 ","Dukes The Palm, a Royal Hideaway Hotel",https://www.theentertainerme.com/outlets/the-champagne-and-tea-lounge/detail?o=33493&m=20050
991,The Chelsea Arms,International,0,0,"
One of Dubai’s oldest and best-loved watering holes, the Chelsea Arms first opened its doors in 1978. While the city has changed, the pub is just as warm and welcoming as ever. For hand-poured pints, great-value food and all the best International sports showing live, it can’t be beaten. Like a little slice of rural England, complete with cosy fireplace and long wooden bar, it is an old favourite you will want to return to again and again. Less
",http://Sheratondubaicreek.com,"
Ground Level, Baniyas Street ","
Dubai Creek ","
+971 4 207 1410 ",Sheraton Dubai Creek Hotel & Towers,https://www.theentertainerme.com/outlets/the-chelsea-arms/detail?o=78229&m=45333
992,The Chickery,,0,0,"
The Chickery is committed to making real food that starts with real ingredients. We are famous for our premium roast chicken and unique seasonings, our proprietary crust, hand-breaded chicken fingers, home-made sauces and delicious sides that define feel-good comfort food. Taste the difference of all-natural chicken cooked to perfection!  Less
",http://www.alsamadi.ae,"
Central, Laguna ","
Jumeirah ","
+971 4 385 5300‬ ",La Mer,https://www.theentertainerme.com/outlets/the-chickery/detail?o=62794&m=36808
993,The China Club,Chinese,4.5,349,"
Walking into The China Club, you will be dazzled by this rich and vivid homage to China in Dubai. With richly textured dishes created with balanced and fresh ingredients, you're sure to relish the enticing menu filled with assorted peking, szechwan and Cantonese delicacies. For lunch, you can indulge in a delicious Yum Cha feast and for dinner treat yourself to deep savoury culinary gems from the à la carte menu. Less
",http://www.radissonblu.com/hotel-dubaideiracreek,"
Plaza Building, Lobby Level ","
Deira ","
+971 4 205 7033 ","Radisson Blu Hotel, Dubai Deira Creek",https://www.theentertainerme.com/outlets/the-china-club/detail?o=2787&m=1799
994,The Choco Monarch Coffee Shop, Read Reviews,4.5,154,"
The Choco Monarch is the new place for chocolate lovers to experience Belgian chocolate delights with unique concepts and presentations! It is a café with an innovative design of a monarch, providing a mouth-watering array of chocolate goodies, a wide range of hot and cold beverages, scrumptious desserts and much more! Customers will experience the real taste of unique chocolate treats in a warm, cosy and stylish ambience where they can enjoy and relax with the whole family. Less
",http://www.chocomonarch.com,"
2nd Level, Next to Food Court ","
Al Rigga ","
+971 4 255 1183 ",Al Ghurair Centre,https://www.theentertainerme.com/outlets/the-choco-monarch-coffee-shop/detail?o=43835&m=25882
995,The Cigar and Whisky Lounge,Beverages,4,7,"
The Cigar and Whisky Lounge features dark wood and rich leather English Chesterfields, creating an ambiance of subtle sophistication. It offers the perfect place for gentlemen to choose from a decadent selection of finely crafted cigars and enjoy selected malts. Less
",http://www.dukesdubai.com,"
3rd Level ","
The Palm Jumeirah ","
+971 4 455 9273 ","Dukes The Palm, a Royal Hideaway Hotel",https://www.theentertainerme.com/outlets/the-cigar-and-whisky-lounge/detail?o=33520&m=20068
996,The City Grill,Steakhouse,4.5,322,"
The City Grill is ready to fulfill your carnivore cravings! Come and explore the richest South African dining experience, uniquely styled with a sophisticated décor, intense flavours and a generous selection of premium beef. Less
",http://www.thecitygrillsteakhouse.com,"
Level 1, The Atrium, Al Habtoor City ","
Sheikh Zayed Road ","
+971 4 437 0088 ","The Atrium, Habtoor City",https://www.theentertainerme.com/outlets/the-city-grill/detail?o=28699&m=17816
997,The Clubhouse Jebel Ali,International,0,0,"
Over the years, if there is a place in Dubai that has become synonymous with escaping from the strain of modern life and relaxing in an inviting & friendly atmosphere, it is the Jebel Ali Recreation Club. The Clubhouse has everything from comfortable lounge areas to a modern, multi-cuisine restaurant and a wide terrace with an outdoor BBQ area. Come & relish all-day breakfast or all-day English breakfast along with refreshing house beverages and cocktails. Less
",,"
Jebel Ali Recreation Club, T Road ","
","
+971 4 459 5100 ",Jebel Ali,https://www.theentertainerme.com/outlets/the-clubhouse-jebel-ali/detail?o=54065&m=31326
998,The Croft,British,4.5,303,"
The Croft at Dubai Marriott Harbour Hotel & Suites has been a local favourite amongst Dubai Marina residents. A relaxed British gastropub with an outdoor garden, the venue dishes up exceptionally good British food, cooked with a modern twist and the very best of home-grown, organic produce. Less
",http://www.marriottharbourdubaidining.com,"
5th or HC Level ","
Dubai Marina ","
+971 4 319 4000 ",Dubai Marriott Harbour Hotel & Suites,https://www.theentertainerme.com/outlets/the-croft/detail?o=14909&m=8615
999,The Cycle Bistro,,0,0,"
 The Cycle Bistro prides itself in being the first and only truly Paleo restaurant in Dubai. With a constant buzz of people and activity, The Cycle Bistro offers the best of locally and international sourced ingredients to create truly healthy and delicious dishes. The Paleo diet is seen as a lifestyle, not a trend that comes and goes. It prohibits us from using any Sugar, Dairy and Gluten which means that there is definitely no preservatives or additives, making us the ultimate health food restaurant. We, at The Cycle Bistro, are always looking for the highest quality products at reasonable prices so that we can create seasonal menus’ which are changed every 3 months. Less
",http://www.thecyclebistro.com,"
15, 75B Street ","
Jumeirah ","
+971 4 332 2209 ",Jumeirah,https://www.theentertainerme.com/outlets/the-cycle-bistro/detail?o=89622&m=3522
1000,The Daily,International,4.5,66,"
Starting bright & early and staying open until late night, The Daily is the essential neighbourhood hangout, perfect for a quick bite. Discover lip-smacking International flavours, free Wi-Fi, an amazing selection of beverages & booster drinks, crisp service and a switched-on coffee culture. Expect something new and exciting, yet comfortingly familiar. Less
",https://www.rovehotels.com/the-daily/,"
Ground Level ","
Deira ","
+971 4 561 9100 ",Rove City Centre,https://www.theentertainerme.com/outlets/the-daily/detail?o=45714&m=26888
1001,The Deck Pool Bar & Grill,,0,0,"
The Deck Pool Bar & Grill offers a unique choice of healthy juices and beverages to match the variety of delicious burgers and grilled items on the menu. Less
",http://www.radissonblu.com/hotel-ajman,"
1st Level ","
Ajman ","
+971 6 707 0700 ","Radisson Blu Hotel, Ajman",https://www.theentertainerme.com/outlets/the-deck-pool-bar-grill/detail?o=39680&m=23413
1002,The Dubliner's,Bar Food,4.5,894,"
A one-stop destination to watch your favourite sporting events unfold, the Meridien Village's famous Irish bar The Dubliners boasts a lively atmosphere coupled with a wide variety of food and beverages to choose from. Less
",http://www.dubliners-dubai.com,"
Meridien Village ","
Al Garhoud ","
+971 4 702 2455 ",Le Méridien Dubai Hotel & Conference Centre,https://www.theentertainerme.com/outlets/the-dubliner-s/detail?o=3513&m=2108
1003,The Duck Hook,Bar Food,0,0,"
The Duck Hook is a characterful gastropub and garden, dedicated to the indulgence of country pursuits and located in the picture perfect Dubai Hills Golf Club. Like the 19th hole of the golf course, the pub is the perfect place for pre- or post-round drinks. With a crowd-pleasing menu of indulgent and home-made pub grub, there is something for everyone. The kid- and pet-friendly venue extends out onto a terrace with an enviable view of Downtown Dubai and direct access to perfectly manicured lawns. Less
",,"
Dubai Hills Golf Club ","
","
800 666353 ",Dubai Hills,https://www.theentertainerme.com/outlets/the-duck-hook/detail?o=66100&m=38117
1004,The Eloquent Elephant,Bar Food,4.5,348,"
Soak up the relaxed atmosphere of this friendly neighbourhood gastropub. Take in the unique design features such as lights inspired by jars and vintage style decorations at The Eloquent Elephant. Enjoy a vast array of craft and draught hops whilst indulging in a menu of well-crafted British and International classic dishes. Look out for live sports, happy hours, quiz nights, musical bingo nights, live music and Thursday Bottomless Brunch. Less
",http://www.tajhotels.com/tajdubai,"
Ground Level ","
Business Bay ","
+971 4 438 3131 ",Taj Dubai,https://www.theentertainerme.com/outlets/the-eloquent-elephant/detail?o=12710&m=7232
1005,The Exchange Grill,Steakhouse,4.5,213,"
The Exchange Grill’s legendary service and unbeatable quality are offering a food menu that is packed with sizzling steaks and culinary creations that are sure to please. It serves signature offerings such as premium gold Angus beef and succulent Kobe fillet beef, including a wide selection of different meat cuts such as filet mignon, pepper steak, New York striploin and Kobe rib eye. All this is complemented by an extensive list of premium International vintage grapes. Less
",http://www.fairmont.com/dubai/dining/theexchangegrill,"
2nd Level ","
Sheikh Zayed Road ","
+971 4 311 8316 ",Fairmont Dubai,https://www.theentertainerme.com/outlets/the-exchange-grill/detail?o=15133&m=8765
1006,The Exit Sports Bar,,0,0,"
The Exit Sports Bar is the perfect place for both catching up with friends and watching live sports from around the world on the big screen. Here, patrons find their favourite sports bar-style menu, paired with an extensive range of draught hops, cocktails, mocktails and other refreshments in a welcoming and lively atmosphere. Less
",,"
Ground Level ","
","
+971 4 381 8888 ",Mercure Dubai Barsha Heights Hotel Suites & Apartments,https://www.theentertainerme.com/outlets/the-exit-sports-bar/detail?o=81102&m=47193
1007,The Fit Food Kitchen,Healthy,0,0,"
The Fit Food Kitchen's dedication to serving you with everyday nutritious, simple, tasty and fresh food makes reaching a happy, healthy lifestyle much easier and enjoyable! Its team of fitness gurus makes it a successful choice. Their high protein meals, special shakes, bread and seeds are all perfectly portioned for you. With our wholesome style of cooking, you can rest assured that we’ve got your good carbs, healthy fats and power protein intake covered for the day! Less
",,"
Al Seef 2 Tower, Unit 2, Cluster U ","
","
+971 50 614 5534 ",Jumeirah Lakes Towers,https://www.theentertainerme.com/outlets/the-fit-food-kitchen/detail?o=90628&m=50363
